,name,username,is_verified,description,followers_count,following_count,tweets_count
0,#ENDSARS,Elijahdegreat29,False,"Extrovert | I do Artwork & P. O. P | WhatsApp 09065034582 | Federal Polytechnic Ado Student ,Computer Science | Man Utd 💯",1125,1340,2280
1,telnet🇳🇬,telnettwo,False,"I 😍 God,",100,108,1198
2,Enny,eniteyoung,False,"Improving lives, businesses, communities thru @sublimepartners @thesublimehub 
|Lawyer | Speaker | Writer | Social Entrepreneur",1292,1118,22821
3,Odewoletayo,Odewoletayo1,False,Am an easy going person and hardworking,4,61,31
4,Jimoh Kitty Lawal,JKLTRENDING,False,"Professional Information Manager.Political Scientist, Analyst & Historian.",55,45,2169
5,Omo Ekiti✳️,abiodun_promise,False,"Civil conversation, You make me laugh, You add to my IQ, I Follow you!
Agribusiness Entrepreneur@Fapville Farm.",1214,1939,13455
6,J,Jaypeesneh,False,I Love Living //Manchester United❤️❤️//Video Gamer// I've been Omah layd💜💜,217,532,2361
7,adeoye,adebisiadeoye3,False,,591,946,91
8,Oyinade7 🕊🕊,Oyinadeogunba,False,Youtuber 💨 Aspiring Billionaire 💨 Club: Barcelona | Dm for Business 🤘,13236,9782,91802
9,Lavida Apple🍥 🇳🇬,AppleLavida,False,"*Picture freak
*Dancer
*Model
*Blogger",50,108,88
10,oshoke starboy,SmileyEro,False,#Endars #wizkid #Madeinlagos,511,1053,3014
11,Micodee,Micodee2,False,all about micodee if not shows don't talk to me,1,6,5
12,Femi,femiifemo,False,😎 cruise catcher..Ambivert,566,822,4824
13,Yellow,Yellownation789,False,"You just have to be yourself,Forever a Wizkid fan,always a Wizkid fan and I do love good music",5,12,165
14,Akinola,Opemeepor,False,"Love while you live. help people,you might need it someday. Geographer, Environmentalist. GIS and Remote Sensing enthusiast.",2219,2317,129996
15,AFCdamola,AFCdamola,False,"Got bagged on the other account, please follow me I follow back|GRAPHICS DESIGNER

proud @Arsenal fan",154,491,446
16,TOBE,TobeNwobodo,False,,657,610,3428
17,Fisayo Dairo,FisayoDairo,False,Nigerian Football Expert; Chief Football Writer @ https://t.co/F6Vw3ptEfe; Contributor to https://t.co/A61woRdE2M email: fiscosports@gmail.com #OctopusFiscosports ALOHA,14591,988,105626
18,mediamastersng,mediamastersng,False,"Media Masters -your daily companion that keeps you up to speed with global affairs in news, sports, business, politics, lifestyle, Cinemas and Radio/Television.",9,36,13381
19,DJ Cuppy Lovers 🍧,djcuppylovers,False,Welcome to the official DJ Cuppy fan page on Twitter. @cuppymusic only.,1488,1,4715
20,†That_Tall_Tom†,DTedela,False,"😎😎 
big fan of CoD....I'm funny small na pls follow me I'll follow back",556,514,1300
21,President Jack,Mr_Otokolo,False,"I will be a millionaire before the end of this year.
17th Dec 2020",210,183,9027
22,Solomon Linus,SolomonLinus8,False,justwannabealegend,1,36,8
23,I Am Tony,GodsCreatureSon,False,"I believe in God and I hope you do as well? because with HIM (GOD), All things are possible....",203,751,5920
24,#GENOCIDEINNIGERIA...,TGzConcepts,False,"God first.
Others second.
Me last...",105,236,2599
25,Gbagyi Man,iam_usso,False,30BG - Manchester united - CR7 - Niniola - Teni.,2826,2934,16925
26,PicassoPablo,PicassoPablo11,False,with my GoodHeart,41,147,478
27,Dempsey,Dempsey52964660,False,original one unit force ✊,1,4,4
28,Ankit Mishra,aankitmishraa,False,"#Contributor #Digital #Marketer #Traveler. Father to @bhumil_mishra Love working strategically on #PPC, #SEM, #SEO, #SMO, #Startups & Startup Stories",4147,2616,63450
29,primus inter pares®️,primus_olalek,False,"||A poet🖊️|| comical boy😂 || critical thinker 🤔|| daredevil critic☠️|| livestock rearer🐇|| Arian ♈.
follow me on IG https://t.co/gtQgkX81mU",468,407,4103
30,Dç West,DWest76017248,False,am a song writing and a Singer also,0,18,2
31,Dangotefirstson,dangotefirstson,False,my purpose in life is to add value to life and put smiles on people face,26,184,665
32,arthuronuorah,arthuronuorah1,False,I love football a lot. My favorite team is Fc Barcelona. I like Arsenal too. My favorite defender is Gerard Pique. I love anime. I watched Naruto.,50,311,1062
33,heiscassonova,heiscassonova,False,"I wanna have fame and that am still 
chasing rit there🚀🚀🚀💰💰",0,34,2
34,Evanstoosh,evanstoosh,False,I live a life of low stress🦧 on GOD ☝,11,101,7
35,Nonso,johnlenxcraft,False,Davido knows music,102,85,5076
36,MAJOR Y. TAYO,MajTayo,False,"Entrepreneur,Executive Vid Editor,Journalist,Music Producer, Web,Textile,Clothing,Art & Logo designer,Footballer, Table Tennis Champ,Writer,BICSc Professional.",9,233,1899
37,Torch 💎,whalesplannet,False,Study to show yourself approved,321,1379,15237
38,Cool Songs,CoolSongs5,False,Love Cool Music With Great Vibes 😊,1,27,1780
